yyyymmdd;tool_id;weight;notes;anvil_type
20170725;01-BBC;527;;wood
20170725;02-BBC;99;;stone
20170725;03-BBC;68;;stone
20170725;04-BBC;82;;stone
20170725;05-BBC;70;;stone
20170725;06-BBC;42;;stone
20170725;07-CAMP;593;potential shell hammerstone, stored at Rancheria;stone
20170728;08-BEACH;1021;;wood
20170728;09-WATERFALL;1213;;stone
20170728;10-DISCOVERY SITE;610;;stone
20170728;11-LOG STREAM;652;;wood
20170106;060118T21;1442;;
20170106;060118CEBUS15-WATERFALL;869;;
20170106;060118T07;1204;;
20170106;060118CEBUS16-01;291;;
20170106;060118CEBUS7-02log;224;;wood
20170106;060118CEBUS7-02logB;490;;wood
20170106;060118T03;89;"10g small; 79g large";
20170105;050118T03;587;;
20170105;050118T02;311;;
20170106;060118T10;916;;
20170106;060118T26;1202;"also q1 in phot; lso CEBUS-17 camera on stream";
20170106;060118T13;989;also Q2 in photo/2nd 23 not in bag changed to 14;